# Lines starting with ”#” will be treated as comments.;;;;;;;;;;;;;;
# This file can be reloaded with the ”reload stats” console command;;;;;;;;;;;;;;
#;;;;;;;dmg reduction from;;;;;;;
#;;;;;;% of dmg that will;armor is multiplied ;;100;50;;;time before dmg;
#;;;;;%bonus dmg;go through shields;with this;;;;;;is applied;
key;cost;power;min_damage;max_damage;shield_damage;shield_penetration;armor_penetration;min_windup;max_windup;cooldown;range;accuracy;missile_speed;end
MEDIUM_SPACEPORT_MASS_DRIVER;0;0;6;31;1;0;0;2;18;25;30;0.8;0;
LARGE_SPACEPORT_MASS_DRIVER;0;0;16;66;1;0;0;2;18;25;40;0.75;0;
# Kinetic Artillery;;;;;;;;;;;;;;
LARGE_KINETIC_ARTILLERY_1;100;-213.25;332.84;554.73;0.07;0;-1.5;35;45;30;114;1;0;
LARGE_KINETIC_ARTILLERY_2;120;-426.59;458.82;764.71;0.08;0;-1.3;35;45;30;124;1;0;
# Autocannons;;;;;;;;;;;;;;
SMALL_AUTOCANNON_1;5;-13.32;31.44;52.4;0;1;-0.5;2;25;18;45;0.43;0;
MEDIUM_AUTOCANNON_1;10;-26.65;92.73;154.54;0;1;-0.1;2;25;18;56;0.36;0;
LARGE_AUTOCANNON_1;20;-53.29;256.83;428.05;0;1;0.3;2;25;18;67;0.3;0;
SMALL_AUTOCANNON_2;7.5;-26.66;21.21;35.36;0;1;-0.4;2;25;18;49;0.58;0;
MEDIUM_AUTOCANNON_2;15;-53.31;62.56;104.27;0;1;0;2;25;18;61;0.48;0;
LARGE_AUTOCANNON_2;30;-106.63;173.27;288.79;0;1;0.4;2;25;18;73;0.4;0;
SMALL_AUTOCANNON_3;10;-53.32;15.84;26.39;0;1;-0.2;2;25;18;53;0.72;0;
MEDIUM_AUTOCANNON_3;20;-106.65;46.7;77.84;0;1;0.1;2;25;18;67;0.6;0;
LARGE_AUTOCANNON_3;40;-213.29;129.33;215.55;0;1;0.5;2;25;18;80;0.51;0;
# Flak Battery;;;;;;;;;;;;;;
LARGE_FLAK_BATTERY_1;50;-106.63;2;4;0.35;0;-1.4;2;3;10;15;1;0;
LARGE_FLAK_BATTERY_2;60;-213.29;2;4;0.1;0;-1.3;2;8;10;20;1;0;
# Missiles;;;;;;;;;;;;;;
SMALL_MISSILE_1;2.5;-3.32;6.19;10.31;0;1;-2.8;20;30;30;48;1;1;
MEDIUM_MISSILE_1;5;-6.65;12.99;21.66;0;1;-4;20;30;30;60;1;1;
LARGE_MISSILE_1;10;-13.29;27.23;45.38;0;1;-4;20;30;30;72;1;1;
SMALL_MISSILE_2;5;-6.66;8.66;14.44;0;1;-0.5;20;30;30;54;1;1.5;
MEDIUM_MISSILE_2;10;-13.31;18.15;30.25;0;1;-1.1;20;30;30;67;1;1.5;
LARGE_MISSILE_2;20;-26.63;37.95;63.25;0;1;-1.7;20;30;30;81;1;1.5;
SMALL_MISSILE_3;7.5;-13.32;11.34;18.91;0;1;-0.3;20;30;30;60;1;2;
MEDIUM_MISSILE_3;15;-26.65;23.72;39.53;0;1;-0.6;20;30;30;74;1;2;
LARGE_MISSILE_3;30;-53.29;49.5;82.5;0;1;-0.9;20;30;30;89;1;2;
SMALL_MISSILE_4;10;-26.66;14.23;23.72;0;1;-0.5;20;30;30;65;1;2.5;
MEDIUM_MISSILE_4;20;-53.31;29.7;49.5;0;1;-0.8;20;30;30;82;1;2.5;
LARGE_MISSILE_4;40;-106.63;61.88;103.13;0;1;-1;20;30;30;98;1;2.5;
SMALL_MISSILE_5;12.5;-53.32;17.33;28.88;0;1;-0.5;20;30;30;71;1;3;
MEDIUM_MISSILE_5;25;-106.65;36.09;60.16;0;1;-0.8;20;30;30;89;1;3;
LARGE_MISSILE_5;50;-213.29;75.08;125.13;0;1;-1;20;30;30;107;1;3;
# Spaceport Missiles;;;;;;;;;;;;;;
SMALL_SPACEPORT_MISSILE;0;0;8;13;1;0;0;2;25;40;26;1;5;
MEDIUM_SPACEPORT_MISSILE;0;0;13;29;1;0;0;2;25;40;36;1;5;
LARGE_SPACEPORT_MISSILE;0;0;34;50;1;0;0;2;25;40;46;1;5;
# Torpedoes;;;;;;;;;;;;;;
SMALL_TORPEDO_1;7.5;-13.32;17.22;28.7;0;0.71;0.2;2;15;75;60;1;2;
MEDIUM_TORPEDO_1;15;-26.65;36.01;60.02;0;0.64;-0.2;2;15;75;74;1;2;
LARGE_TORPEDO_1;30;-53.29;75.15;125.25;0;0.57;-0.5;2;15;75;89;1;2;
SMALL_TORPEDO_2;10;-26.66;21.61;36.01;0;0.64;-0.1;2;15;75;65;1;2.5;
MEDIUM_TORPEDO_2;20;-53.31;45.09;75.15;0;0.57;-0.4;2;15;75;82;1;2.5;
LARGE_TORPEDO_2;40;-106.63;93.94;156.56;0;0.5;-0.7;2;15;75;98;1;2.5;
SMALL_TORPEDO_3;12.5;-53.32;26.3;43.84;0;0.57;-0.2;2;15;75;71;1;3;
MEDIUM_TORPEDO_3;25;-106.65;54.8;91.33;0;0.5;-0.4;2;15;75;89;1;3;
LARGE_TORPEDO_3;50;-213.29;113.98;189.96;0;0.43;-0.7;2;15;75;107;1;3;
# Swarmer Missiles;;;;;;;;;;;;;;
LARGE_SWARMER_MISSILE_1;40;-106.63;27;45;0;1;-0.8;2;8;20;82;1;2.5;
LARGE_SWARMER_MISSILE_2;50;-213.29;32.81;54.69;0;1;-0.8;2;8;20;89;1;3;
# Space Cloud;;;;;;;;;;;;;;
SMALL_SPACE_CLOUD_LIGHTNING;5;-3.32;5.33;8.88;0;0.7;-4;2;25;30;36;1;0;
LARGE_SPACE_CLOUD_LIGHTNING;20;-6.65;11.18;18.64;0;0.63;-4;2;25;30;45;1;0;
# Crystalline Entities;;;;;;;;;;;;;;
SMALL_CRYSTAL_SHIP_BLUE_LIGHTNING;2.5;-3.32;16.95;28.24;0.01;0;1;2;25;30;36;0.54;0;
MEDIUM_CRYSTAL_SHIP_BLUE_LIGHTNING;5;-6.65;82.92;138.21;0.01;0;2.2;2;25;30;45;0.34;0;
LARGE_CRYSTAL_SHIP_BLUE_LIGHTNING;10;-13.29;307.09;511.82;0.01;0;3.5;2;25;30;54;0.25;0;
SMALL_CRYSTAL_SHIP_GREEN_LIGHTNING;5;-3.32;16.95;28.24;0.01;0;1;2;25;30;36;0.54;0;
MEDIUM_CRYSTAL_SHIP_GREEN_LIGHTNING;10;-6.65;82.92;138.21;0.01;0;2.2;2;25;30;45;0.34;0;
LARGE_CRYSTAL_SHIP_GREEN_LIGHTNING;20;-13.29;307.09;511.82;0.01;0;3.5;2;25;30;54;0.25;0;
SMALL_CRYSTAL_SHIP_YELLOW_LIGHTNING;7.5;-3.32;16.95;28.24;0.01;0;1;2;25;30;36;0.54;0;
MEDIUM_CRYSTAL_SHIP_YELLOW_LIGHTNING;15;-6.65;82.92;138.21;0.01;0;2.2;2;25;30;45;0.34;0;
LARGE_CRYSTAL_SHIP_YELLOW_LIGHTNING;30;-13.29;307.09;511.82;0.01;0;3.5;2;25;30;54;0.25;0;
SMALL_CRYSTAL_SHIP_RED_LIGHTNING;10;-3.32;16.95;28.24;0.01;0;1;2;25;30;36;0.54;0;
MEDIUM_CRYSTAL_SHIP_RED_LIGHTNING;20;-6.65;82.92;138.21;0.01;0;2.2;2;25;30;45;0.34;0;
LARGE_CRYSTAL_SHIP_RED_LIGHTNING;40;-13.29;307.09;511.82;0.01;0;3.5;2;25;30;54;0.25;0;
SMALL_CRYSTAL_SHIP_BLUE_ELITE_LIGHTNING;2.5;-6.66;13.8;23;0.04;0;1.3;2;25;30;40;0.69;0;
MEDIUM_CRYSTAL_SHIP_BLUE_ELITE_LIGHTNING;5;-13.31;51.12;85.19;0.04;0;1.6;2;25;30;50;0.51;0;
LARGE_CRYSTAL_SHIP_BLUE_ELITE_LIGHTNING;10;-26.63;163.67;272.78;0.04;0;1.8;2;25;30;60;0.4;0;
SMALL_CRYSTAL_SHIP_GREEN_ELITE_LIGHTNING;5;-6.66;13.8;23;0.04;0;1.3;2;25;30;40;0.69;0;
MEDIUM_CRYSTAL_SHIP_GREEN_ELITE_LIGHTNING;10;-13.31;51.12;85.19;0.04;0;1.6;2;25;30;50;0.51;0;
LARGE_CRYSTAL_SHIP_GREEN_ELITE_LIGHTNING;20;-26.63;163.67;272.78;0.04;0;1.8;2;25;30;60;0.4;0;
SMALL_CRYSTAL_SHIP_YELLOW_ELITE_LIGHTNING;7.5;-6.66;13.8;23;0.04;0;1.3;2;25;30;40;0.69;0;
MEDIUM_CRYSTAL_SHIP_YELLOW_ELITE_LIGHTNING;15;-13.31;51.12;85.19;0.04;0;1.6;2;25;30;50;0.51;0;
LARGE_CRYSTAL_SHIP_YELLOW_ELITE_LIGHTNING;30;-26.63;163.67;272.78;0.04;0;1.8;2;25;30;60;0.4;0;
SMALL_CRYSTAL_SHIP_RED_ELITE_LIGHTNING;10;-6.66;13.8;23;0.04;0;1.3;2;25;30;40;0.69;0;
MEDIUM_CRYSTAL_SHIP_RED_ELITE_LIGHTNING;20;-13.31;51.12;85.19;0.04;0;1.6;2;25;30;50;0.51;0;
LARGE_CRYSTAL_SHIP_RED_ELITE_LIGHTNING;40;-26.63;163.67;272.78;0.04;0;1.8;2;25;30;60;0.4;0;
# Misc Space Critters;;;;;;;;;;;;;;
MEDIUM_PROBE_LIGHTNING;15;-106.65;47.98;79.96;0.08;0;-1.1;2;25;30;67;1;0;
SMALL_SPACE_WHALE_WEAPON;5;-3.32;5.33;8.88;0.01;0;-4;2;25;30;32;1;0;
MEDIUM_SPACE_WHALE_WEAPON;10;-6.65;11.18;18.64;0.01;0;-4;2;25;30;45;1;0;
LARGE_SPACE_WHALE_WEAPON;20;-13.29;23.43;39.05;0.01;0;-4;2;25;30;54;1;0;
SMALL_SPACE_AMOEBA_WEAPON;7.5;-26.66;16.65;27.75;1.52;0;0;2;25;30;32;1;0;
SPACE_AMOEBA_WEAPON;15;-106.63;72.39;120.65;1.52;0;0;2;25;30;73;1;0;
SMALL_MINING_LASER;7.5;-6.66;13.8;23;0.04;0;1.3;2;25;30;32;0.69;0;
MEDIUM_MINING_LASER;15;-13.31;51.12;85.19;0.04;0;1.6;2;25;30;50;0.51;0;
# ED invaders;;;;;;;;;;;;;;
SMALL_ED_WEAPON;15;-53.32;20.76;34.6;4.25;0;-0.3;2;25;25;71;0.7;0;
MEDIUM_ED_WEAPON;30;-106.65;52.15;86.92;4.25;0;-0.5;2;25;25;89;0.62;0;
LARGE_ED_WEAPON;60;-213.29;127.99;213.32;4.25;0;-0.8;2;25;25;107;0.56;0;
# Swarm;;;;;;;;;;;;;;
SMALL_SPACEPORT_SCOURGE_MISSILE;0;-53.32;16.85;28.09;0;1;-0.5;2;25;40;36;1;3;
MEDIUM_SPACEPORT_SCOURGE_MISSILE;0;-106.65;35.11;58.52;0;1;-0.8;2;25;40;44;1;3;
LARGE_SPACEPORT_SCOURGE_MISSILE;0;-213.29;73.03;121.71;0;1;-1;2;25;40;53;1;3;
LARGE_SCOURGE_MISSILE_1;50;-213.29;73.03;121.71;0;1;-1;2;25;40;53;1;3;
SMALL_SCOURGE_PROJECTILE_WEAPON;12.5;-53.32;7.05;11.75;0.08;0;5.9;2;25;30;36;0.83;0;
SCOURGE_PROJECTILE_WEAPON;25;-106.65;13.79;22.98;0.08;0;9.5;2;25;30;44;0.7;0;
# Fallen Empire;;;;;;;;;;;;;;
LARGE_FALLEN_EMPIRE_SPACEPORT_LANCE;0;-213.29;317.03;528.39;0.08;0;1.8;2;25;100;80;0.61;0;
# Point-Defense;;;;;;;;;;;;;;
POINT_DEFENCE_1;5;-6.66;2;3;1;0;0;9;19;1;2;0.8;0;
POINT_DEFENCE_2;7.5;-26.66;2;3;1;0;0;5;9;1;2;0.8;0;
POINT_DEFENCE_3;10;-106.66;2;3;1;0;0;3;5;1;2;0.8;0;
